行動任務卡片,行動狀態,完成度,截止日,問題／目標,學習點,工作時間（小時）,專案項目,Sub-tasks,Last edited time,復盤提煉完成,母任務,相關人員,翻開答案,蓋住答案,閃卡公式,閃卡選項,📥 資訊收集箱（Inbox）
理解Transformer,✅ 任務完成,1,2024/10/25,這門技術的亮點是什麼?,可以考慮整個句子的語義,27,大語言模型研究 (https://www.notion.so/11ea5aa2d257807abcbad8726aefe48d?pvs=21),"觀看李弘毅的Transformer影片 (https://www.notion.so/Transformer-11ea5aa2d25780849036d8fcb1b128a5?pvs=21), 看Transformer學術論文 (https://www.notion.so/Transformer-11ea5aa2d257809e9f57de45d0cb9f39?pvs=21), Transformer code check  (https://www.notion.so/Transformer-code-check-11fa5aa2d257801fa4f9d14129a748a2?pvs=21), BLEU score (https://www.notion.so/BLEU-score-120a5aa2d257805e8bfed576ef69005a?pvs=21)","November 29, 2024 11:39 PM",Yes,,彥龍 黃,,,答案是...?,關閉,
了解現今的大語言模型,✅ 任務完成,1,,現今的大語言模型是怎麼構成的呢?又是怎麼訓練的?,大致了解語言模型，但缺乏資料跟算力難以自己調教。,32,大語言模型研究 (https://www.notion.so/11ea5aa2d257807abcbad8726aefe48d?pvs=21),"學習LLaMA 1的結構機制 (https://www.notion.so/LLaMA-1-12ba5aa2d25780fabc75c1395576e5d2?pvs=21), 觀看台大陳蘊儂ＮＬＰ課程影片 (https://www.notion.so/12fa5aa2d2578098a73de8314331ff88?pvs=21)","November 29, 2024 11:54 PM",Yes,,彥龍 黃,,,答案是...?,關閉,
應用大語言模型,✅ 任務完成,1,,學習快速的應用LLM,知道如何應用語言模型並知道知識圖譜是什麼。,38,大語言模型研究 (https://www.notion.so/11ea5aa2d257807abcbad8726aefe48d?pvs=21),"觀看IT幫幫忙-LangChain (https://www.notion.so/IT-LangChain-13ba5aa2d25780b0acb4eab53c0e832b?pvs=21), RAG技術論文查看 (https://www.notion.so/RAG-13ca5aa2d2578030aa20cbbed27dfa5c?pvs=21)","November 29, 2024 11:54 PM",Yes,,彥龍 黃,,,答案是...?,關閉,
觀看李弘毅的Transformer影片,✅ 任務完成,,2024/10/16,Transformaer到底是甚麼?,"總體來說這是一個包含了self-attention mechanism的一個模型
,藉由encoder擷取具有相關性的特徵
，再使用decoder參考相關性，
產生輸出兩組件都涵有self-attention。",2,,,"November 12, 2024 12:12 PM",Yes,理解Transformer (https://www.notion.so/Transformer-11ea5aa2d2578022b270cd1b1a5d5ffb?pvs=21),彥龍 黃,,,答案是...?,關閉,
看Transformer學術論文,✅ 任務完成,,2024/10/18,查看真實論文中的內容，更了解Transformer?,論文中有些小細節，像是learning rate或是attention計算的公式,4,,,"November 12, 2024 12:12 PM",Yes,理解Transformer (https://www.notion.so/Transformer-11ea5aa2d2578022b270cd1b1a5d5ffb?pvs=21),彥龍 黃,,,答案是...?,關閉,
"Transformer code check ",✅ 任務完成,,2024/10/25,實際上原始碼的長相為何？,實際運作可能跟想像不太一樣,20,,,"November 12, 2024 12:11 PM",Yes,理解Transformer (https://www.notion.so/Transformer-11ea5aa2d2578022b270cd1b1a5d5ffb?pvs=21),彥龍 黃,,,答案是...?,關閉,
BLEU score,✅ 任務完成,,2024/10/18,了解在自然語任務中衡量指標,判斷生成與參考句子的差異,1,,,"November 12, 2024 12:11 PM",Yes,理解Transformer (https://www.notion.so/Transformer-11ea5aa2d2578022b270cd1b1a5d5ffb?pvs=21),彥龍 黃,,,答案是...?,關閉,
學習LLaMA 1的結構機制,✅ 任務完成,,2024/11/01,模型結構?,"保留decoder的部分,做next token預測",8,,,"November 12, 2024 11:53 AM",Yes,了解現今的大語言模型 (https://www.notion.so/11ea5aa2d257804cb168f3fe063df67c?pvs=21),彥龍 黃,,,答案是...?,關閉,"LLaMA tutorial video (https://www.notion.so/LLaMA-tutorial-video-127a5aa2d257807cbe31f087b73dbd29?pvs=21), Paper : LLaMA: Open and Efficient Foundation Language Models (https://www.notion.so/Paper-LLaMA-Open-and-Efficient-Foundation-Language-Models-127a5aa2d25780e6b1f0d8be633d609f?pvs=21), Rotary Position Embedding (https://www.notion.so/Rotary-Position-Embedding-12ba5aa2d25780ffb09fc9446cda60c5?pvs=21)"
觀看台大陳蘊儂ＮＬＰ課程影片,✅ 任務完成,,,了解目前的語言模型應用技術,語言模型的應用技巧,24,,,"November 29, 2024 11:51 PM",Yes,了解現今的大語言模型 (https://www.notion.so/11ea5aa2d257804cb168f3fe063df67c?pvs=21),彥龍 黃,,,答案是...?,關閉,台大資訊 深度學習之應用 Video (https://www.notion.so/Video-130a5aa2d257802dac4bd29df5454829?pvs=21)
觀看IT幫幫忙-LangChain,✅ 任務完成,,,學習NLP AI框架,LangChain框架快速建立NLP應用,4,,,"November 12, 2024 12:11 PM",Yes,應用大語言模型 (https://www.notion.so/11ea5aa2d25780dfb5b4f351a310fe30?pvs=21),彥龍 黃,,,答案是...?,關閉,LangChain (IT幫幫忙) (https://www.notion.so/LangChain-IT-13ba5aa2d257809eb66aef19aa09a211?pvs=21)
